NO,MD_ID,LATITUDE,LONGITUDE
1,YXX,49.02528,-122.36
2,WZA,49.24306,-121.76
3,VAS,50.70834,-121.281
4,WGB,49.35028,-124.16
5,BBC,52.185,-128.157
6,WSV,52.12903,-119.29
7,WWL,53.49285,-130.639
8,VBB,49.12585,-123.002
9,WPZ,54.38317,-125.959
10,VOD,50.14391,-123.111
11,WME,52.18745,-127.471
12,VCW,51.65258,-120.082
13,YIN,51.26639,-121.685
14,YQQ,49.71667,-124.9
15,YXC,49.61222,-115.782
16,WJR,49.08169,-116.501
17,YDQ,55.74222,-120.183
18,WKX,58.42584,-130.026
19,WEL,49.20867,-123.811
20,WPF,48.43197,-123.439
21,WEB,49.38331,-126.543
22,XFA,50.45352,-125.993
23,YYE,58.83639,-122.597
24,VFS,54.45529,-124.286
25,WEK,54.58032,-130.698
26,WLP,50.93976,-127.632
27,WHL,54.17223,-130.361
28,VPE,49.36983,-121.493
29,YHE,49.36833,-121.498
30,WAS,49.48778,-123.299
31,ZKA,50.70222,-120.442
32,YKA,50.7025,-120.449
33,VKU,49.94075,-119.4
34,YLW,49.95722,-119.378
35,WQS,53.31558,-132.772
36,WKF,50.68373,-121.934
37,WLY,50.22444,-121.582
38,VLY,50.22444,-121.582
39,VZY,55.30529,-123.138
40,YZY,55.29944,-123.133
41,WKH,48.57492,-123.53
42,VME,50.1125,-120.778
43,WNP,50.26943,-117.817
44,WNM,49.49139,-117.305
45,VOO,48.82417,-123.719
46,WYY,49.02833,-119.441
47,WGP,50.30565,-122.734
48,YYF,49.4625,-119.602
49,WMM,49.20832,-122.69
50,WSB,49.33036,-123.265
51,WQC,49.31658,-124.927
52,VOP,49.83456,-124.497
53,VXS,53.88889,-122.672
54,YXS,53.88417,-122.678
55,WPR,49.465,-120.51
56,WPU,52.11444,-124.136
57,VOQ,49.33722,-124.394
58,VQZ,53.02667,-122.506
59,YQZ,53.02611,-122.51
60,VRA,50.95822,-118.176
61,YRV,50.96667,-118.183
62,WRO,54.15914,-131.661
63,WSL,50.703,-119.291
64,VZP,53.25028,-131.813
65,YZP,53.25417,-131.814
66,WFG,50.82111,-128.908
67,VTS,48.77502,-123.128
68,WEZ,48.78391,-123.045
69,VOU,49.458,-123.715
70,WSP,48.37669,-123.921
71,VYD,54.82417,-127.189
72,YYD,54.82528,-127.183
73,WRU,50.11151,-127.94
74,WGW,49.745,-114.884
75,WSK,49.78306,-123.161
76,WUS,49.56256,-119.649
77,XTL,51.67456,-124.403
78,YXT,54.46861,-128.578
79,WYJ,48.457,-123.305
80,VVR,49.1825,-123.187
81,WHC,49.29535,-123.122
82,YVR,49.19472,-123.184
83,WJV,50.22331,-119.194
84,WLM,48.4133,-123.325
85,YYJ,48.64722,-123.426
86,XWF,49.11194,-117.739
87,WWA,49.34704,-123.193
88,VOC,50.12894,-122.955
89,WWK,49.01806,-122.784
90,YWL,52.18333,-122.054
91,WYL,51.44289,-116.345
92,VBD,52.38851,-126.587
93,YDL,58.4223,-130.032
94,VFN,58.84139,-122.574
95,VFJ,54.45967,-124.292
96,VSJ,56.24748,-120.75
97,VGE,51.30028,-116.984
98,VKC,54.05643,-128.604
99,VOM,49.5263,-123.496
100,YPR,54.2859,-130.445
101,VSA,48.62173,-123.41
102,VHD,50.68484,-127.38
103,WZW,60.1746,-132.734
104,XQH,60.11584,-128.832
105,WJL,60.2357,-123.473
106,WQF,61.96306,-127.209
107,YHL,52.90664,-118.548
108,MBP,53.30775,-120.317
109,BKP,53.05681,-121.491
110,HDL,54.10578,-121.006
111,REV,53.78631,-120.382
112,DMT,53.62208,-121.024
113,MTW,53.73117,-126.419
114,THL,53.58583,-127.645
115,MTP,53.1645,-126.873
116,GRM,50.79556,-122.924
117,MIR,50.76417,-122.206
118,BMM,52.10661,-120.868
119,YKP,52.83192,-121.355
120,TQL,50.53617,-122.929
121,CHP,49.03167,-121.713
122,SPZ,49.66064,-121.659
123,MTC,52.1825,-119.323
124,AZR,52.59567,-119.724
125,KOS,52.20364,-120.032
126,PAR,50.44964,-118.618
127,CMT,51.40606,-118.986
128,MRL,51.035,-118.147
129,MLC,52.221,-118.226
130,BNC,50.0685,-118.351
131,SLC,50.43417,-117.704
132,MSR,49.448,-114.969
133,MMT,49.25108,-115.774
134,FLL,51.06022,-116.137
135,ESC,50.64,-116.926
136,RFC,49.68986,-117.087
137,GRC,49.55183,-118.677
138,MNC,49.94483,-118.949
139,BDM,49.86739,-119.977
140,BKW,49.09406,-120.773
141,NTR,51.24364,-124.461
142,UMC,51.77617,-124.622
143,SQU,50.15406,-123.436
144,WFR,49.70414,-125.679
145,JPC,48.9695,-124.276
146,BRB,52.48081,-126.25
147,PPS,55.35306,-122.638
148,PPL,57.54833,-126.749
149,KWR,57.62361,-125.073
150,AKL,56.43667,-126.742
151,LUL,54.19683,-126.304
152,SHE,55.86256,-127.698
153,TSC,54.64614,-127.675
154,CDK,55.15231,-128.71
155,KKL,57.56667,-130.25
156,LWU,53.9508,-121.443
157,MGP,50.69856,-122.625
158,BLN,50.77519,-122.789
159,KNL,54.30266,-120.783
160,TIM,51.90453,-121.256
161,SNM,49.85595,-120.863
162,DMR,51.09851,-120.61
163,DLU,50.8593,-123.184
164,NTY,51.15,-122.794
165,BGP,50.83149,-123.486
166,PRL,49.94864,-120.282
167,JLM,49.70764,-121.085
168,LCU,49.58191,-122.314
169,DIL,49.555,-122.758
170,TRM,51.80837,-119.941
171,CKC,52.1678,-119.304
172,END,50.653,-118.927
173,KEC,51.4167,-118.361
174,COL,51.6,-117.383
175,CAR,51.1167,-117.228
176,WCC,51.6963,-116.629
177,GNP,51.27012,-117.509
178,FRL,52.05381,-118.586
179,FWT,49.86418,-118.074
180,FER,49.48843,-115.073
181,DLD,50.23872,-116.971
182,GCU,49.61656,-116.659
183,KAA,49.90375,-116.928
184,NDE,49.99666,-117.358
185,TCW,49.74017,-120.189
186,GBR,49.6163,-119.423
187,WRM,50.01691,-119.746
188,SSM,50.3714,-119.062
189,OYL,50.11633,-119.279
190,PAL,49.45444,-123.032
191,ORC,49.53583,-123.051
192,CAL,50.13706,-123.103
193,TET,49.59785,-123.605
194,HMU,48.9439,-124.452
195,MAR,49.2074,-124.568
196,WAR,57.3962,-125.701
197,TSA,55.41635,-124.763
198,PHL,55.1238,-123.898
199,MOS,54.60556,-121.804
200,MON,54.72528,-121.232
201,CGP,56.3833,-122.1
202,MUK,56.7833,-123.106
203,DOW,55.8251,-122.436
204,GER,55.78553,-124.701
205,PRU,54.60556,-122.138
206,MCQ,56.9815,-123.404
207,JHL,56.60542,-126.194
208,SIK,57.2672,-124.139
209,TUM,57.23883,-129.707
210,FKM,56.75333,-130.691
211,FKH,56.75889,-130.746
212,LOG,59.76404,-134.966
213,SMM,48.92757,-124.647
214,MZC,50.04863,-125.789
215,WOC,50.21312,-126.607
216,TBC,50.568,-124.073
217,SCC,51.18908,-125.028
218,MCL,51.59312,-126.451
219,RSW,54.91693,-128.86
220,KTP,54.17,-128.577
221,TLC,57.91413,-131.171
222,ATL,59.58333,-133.667
223,ISK,57.85667,-130.008
224,BOB,56.98333,-130.253
225,SIE,58.83811,-121.397
226,HLM,59.421,-120.789
227,NLF,59.61728,-124.099
228,SLR,57.374,-121.408
229,PAD,57.78181,-120.237
230,GRH,56.43464,-122.458
231,TDR,58.86585,-125.311
232,TBD,55.02736,-120.934
233,PKM,57.07653,-122.559
234,MWA,57.88425,-123.616
235,HHP,56.0347,-121.99
236,WNW,56.7185,-121.765
237,RDR,54.63303,-120.576
238,LMY,55.52498,-122.517
239,MSN,55.57988,-124.232
240,TBR,54.71617,-122.274
241,IGP,57.01942,-125.18
242,BRL,54.50922,-122.691
243,MLL,54.72553,-123.079
244,WTH,55.02303,-124.267
245,SST,56.32873,-127.034
246,HTD,54.41167,-126.627
247,LVC,55.68822,-126.053
248,MSL,53.07146,-125.412
249,KLU,53.38305,-124.512
250,AGL,54.36189,-125.525
251,UFL,55.03333,-126.8
252,LEC,55.08183,-125.477
253,NKK,55.55333,-126.578
254,MBL,54.07472,-127.399
255,MGG,53.92889,-120.636
256,TAU,52.535,-123.25
257,ACH,52.08377,-123.273
258,ALH,52.45667,-125.303
259,NMI,51.48,-123.818
260,BLF,52.7101,-124.482
261,GPD,51.45167,-122.662
262,MDL,51.70167,-124.875
263,TCK,52.25135,-126.028
264,GOS,52.4526,-119.175
265,TYN,49.71515,-120.866
266,AHN,49.13905,-120.184
267,TRC,51.99722,-118.103
268,WSY,51.06533,-116.785
269,MRN,51.04217,-116.364
270,SUC,51.71617,-117.542
271,DNC,50.78083,-117.181
272,KTL,49.95998,-118.626
273,BVD,49.457,-119.088
274,NCL,49.52667,-118.36
275,OCC,49.699,-118.081
276,SLN,49.78467,-117.44
277,PLR,50.49461,-115.666
278,ELK,49.28767,-115.155
279,TBH,50.51283,-116.055
280,FLD,49.07913,-114.537
281,JSL,49.922,-115.737
282,EMC,50.14508,-115.977
283,NSC,55.28833,-128.993
284,KPH,55.435,-127.647
285,CDV,55.02667,-128.313
286,VDY,56.01273,-129.1
287,UKP,55.6,-128.042
288,BIR,56.34849,-129.293
289,CRB,55.57667,-128.705
290,NOE,55.29576,-120.486
291,EKM,59.33369,-125.511
292,FRS,59.72267,-127.335
293,KTK,58.72698,-127.125
294,BYL,59.36833,-129.11
295,RPR,50.0867,-114.9
296,NGC,49.4539,-115.987
297,WHR,50.185,-115.266
298,BSC,50.8193,-116.245
299,BBY,51.4357,-117.057
300,BMT,51.85333,-118.591
301,IBL,49.76722,-119.124
302,GTV,49.6673,-115.214
303,DWN,51.5154,-118.272
304,TSJ,48.57111,-124.201
305,TNC,50.37013,-126.434
306,TEF,49.17,-125.283
307,TAL,50.13242,-126.928
308,OSB,56.55833,-120.382
309,MEC,50.61972,-123.41
310,JRY,53.52594,-122.106
311,WRH,53.46314,-121.56
312,MAT,52.91,-120.912
313,PRC,52.39127,-120.985
314,TMY,51.913,-121.389
315,EBR,51.25313,-119.882
316,AFT,50.67333,-120.482
317,AKO,49.4358,-116.746
318,AND,49.6551,-121.358
319,ASP,49.94811,-120.621
320,AUG,49.43348,-120.457
321,BEA,49.37748,-124.933
322,BED,53.86539,-123.323
323,BEN,52.91,-122.065
324,BGS,49.7234,-121.837
325,BGV,53.26167,-121.762
326,BLU,52.12225,-119.294
327,BOW,49.43683,-124.702
328,BRD,49.86842,-119.993
329,BUR,54.2586,-125.757
330,CAH,50.88788,-119.838
331,CAT,53.57644,-120.858
332,CED,49.04762,-123.875
333,CRY,49.18778,-115.542
334,CHU,51.40272,-122.32
335,CWH,51.6289,-120.095
336,CDL,51.72378,-120.39
337,CBK,49.6673,-115.848
338,CRF,50.765,-117.958
339,CUR,50.60215,-118.423
340,DAR,50.52172,-122.498
341,DKW,49.36667,-116.967
342,DFS,58.42578,-130.019
343,DEW,49.7845,-116.383
344,EOO,53.50243,-125.779
345,ETM,49.43283,-118.578
346,FAL,50.383,-117.88
347,FIN,50.20667,-119.48
348,FVM,50.91089,-122.689
349,FDM,49.10403,-121.638
350,FNF,58.84147,-122.574
351,FSJ,54.39408,-124.261
352,FBR,51.17747,-122.249
353,GAN,54.80123,-126.948
354,GAV,52.47,-121.742
355,GLI,50.27045,-120.288
356,GOA,49.12533,-116.164
357,GDH,50.36583,-117.065
358,GDS,51.66943,-118.487
359,GDF,49.0307,-118.416
360,GRA,53.94538,-125.876
361,GWY,50.79633,-122.88
362,HGB,52.38725,-126.59
363,HBL,51.52267,-119.113
364,HXN,53.41128,-122.596
365,HCR,53.93597,-124.777
366,HNA,53.2532,-132.116
367,HSL,52.33,-121.397
368,KNF,52.04972,-121.874
369,KCN,49.04694,-115.225
370,LTL,50.61525,-120.836
371,LKR,52.615,-121.513
372,LIL,50.67202,-121.888
373,LBU,51.507,-121.162
374,MLK,50.35167,-118.773
375,MKZ,55.32211,-123.093
376,MSO,51.21111,-120.412
377,MBH,53.29483,-120.153
378,MCC,49.14833,-119.415
379,MNK,50.7923,-121.358
380,MEA,51.375,-121.717
381,MES,48.82288,-124.137
382,NAD,53.94248,-126.928
383,NAH,49.90178,-122.021
384,NAN,49.2545,-117.994
385,NAZ,52.9575,-123.596
386,NBB,55.13452,-126.207
387,NCC,54.15463,-123.754
388,PRR,54.01867,-126.389
389,PSK,50.504,-120.674
390,PED,53.98674,-126.517
391,PBB,50.30593,-122.729
392,PDL,49.05056,-117.414
393,PEN,49.51833,-119.553
394,PIN,54.68378,-127.326
395,PLL,51.81667,-122
396,POW,49.9065,-116.855
397,QUI,50.0273,-125.294
398,RVL,51.06033,-118.217
399,RIS,51.95944,-122.504
400,ROC,49.052,-118.937
401,ROR,50.61262,-116.793
402,SLA,50.685,-119.235
403,SLT,48.77395,-123.474
404,SEV,54.16957,-121.652
405,SYA,51.27352,-118.915
406,SIC,50.86347,-119.003
407,SIF,57.85175,-126.117
408,SKO,50.43869,-121.552
409,SMW,49.49667,-117.448
410,SPK,50.9237,-120.867
411,SPL,50.35111,-121.655
412,TAT,51.90667,-124.605
413,TRO,50.60528,-117.427
414,TSE,49.42805,-123.565
415,TSL,50.27092,-125.131
416,TSM,49.5855,-123.387
417,TST,50.1035,-124.615
418,TUR,50.80333,-119.63
419,UBC,49.2645,-122.573
420,VAL,52.78805,-119.315
421,VAN,54.05581,-124.009
422,WLG,52.34263,-120.244
423,WIN,51.67,-120.65
424,HGC,49.3806,-121.526
425,BLP,56.3188,-125.368
426,NAB,56.3643,-123.366
427,CHI,53.4938,-123.609
428,YOU,51.2378,-120.998
429,DEC,51.967,-120.608
430,BER,51.9788,-119.413
431,ALL,49.0623,-120.767
432,CAP,49.44,-123.097
433,SEY,49.483,-122.95
434,COQ,49.386,-122.77
435,ICY,60.0069,-127.928
436,MUD,51.3131,-119.393
437,PRW,49.8181,-124.449
438,MCY,50.0708,-123.277
439,VLA,52.8597,-119.339
440,OLF,59.8928,-129.093
441,APE,52.1346,-126.263
442,MAK,51.6556,-126.141
443,WKE,49.8832,-119.57
444,CHE,50.0833,-123.033
445,LAR,50.6906,-119.176
446,LOD,49.4697,-120.793
447,GRI,49.27,-119.22
448,BOO,49.9736,-121.49
449,SAW,55.3072,-125.367
450,KLI,51.38,-125.77
451,HOM,51.1019,-124.95
452,LWC,50.2258,-126.356
453,STB,50.4972,-119.727
454,TSB,49.6102,-126.033
455,FRA,49.8744,-122.281
456,FOR,56.7116,-130.678
457,TAK,50.2678,-127.08
458,CCT,49.4039,-124.758
459,PLU,51.3735,-125.165
460,MCN,49.5557,-120.173
461,TSN,49.2074,-125.122
462,MER,50.1214,-120.744
463,BLA,50.171,-125.576
464,CAC,51.1753,-117.176
465,QDR,49.072,-118.976
466,TER,54.4667,-128.567
467,QDW,50.7969,-118.943
468,INK,49.1167,-119.3
469,BIG,49.4539,-115.987
470,RAF,51.765,-119.675
471,NRA,51.3967,-119.468
472,SAL,50.1189,-116.898
473,QDE,50.0527,-117.805
474,QDD,57.3333,-122.017
475,FFG,48.49417,-123.615
476,FTN,48.52944,-123.639
477,FRW,48.58583,-123.751
478,FMM,48.44194,-123.569
479,FSD,48.51611,-123.701
480,FMG,48.51611,-123.764
481,FNB,48.57222,-123.707
482,FCC,48.58028,-123.841
483,FSM,48.55917,-123.799
